1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;1001;Flensburg;KfS;8,617;9,628;645;7.5;18;8;4,977;57.8;3,450;2,638;812;1,118;32.4
------;Straftaten insgesamt;1002;Kiel;KfS;22,452;9,070;1,585;7.1;24;5;11,490;51.2;7,827;6,014;1,813;2,234;28.5
------;Straftaten insgesamt;1003;Lübeck;KfS;21,768;10,022;1,301;6;20;9;12,900;59.3;8,001;6,052;1,949;1,988;24.8
------;Straftaten insgesamt;1004;Neumünster;KfS;11,397;14,338;996;8.7;8;4;7,079;62.1;5,318;3,855;1,463;2,792;52.5
------;Straftaten insgesamt;1051;Dithmarschen;K;6,786;5,094;434;6.4;9;12;3,957;58.3;2,996;2,311;685;482;16.1
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;10,060;5,100;916;9.1;24;19;5,262;52.3;3,997;3,070;927;919;23
------;Straftaten insgesamt;1054;Nordfriesland;K;8,277;5,001;497;6;14;7;4,559;55.1;3,509;2,689;820;616;17.6
------;Straftaten insgesamt;1055;Ostholstein;K;12,709;6,336;1,020;8;10;6;7,035;55.4;5,678;4,424;1,254;1,644;29
------;Straftaten insgesamt;1056;Pinneberg;K;18,552;5,901;1,536;8.3;18;14;9,319;50.2;7,205;5,542;1,663;2,146;29.8
------;Straftaten insgesamt;1057;Plön;K;5,318;4,134;415;7.8;11;3;2,814;52.9;2,181;1,678;503;352;16.1
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;12,525;4,592;1,036;8.3;18;14;6,761;54;5,259;4,011;1,248;1,176;22.4
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,130;4,564;646;7.1;8;14;5,543;60.7;4,472;3,516;956;1,477;33
------;Straftaten insgesamt;1060;Segeberg;K;15,297;5,542;1,236;8.1;7;15;8,233;53.8;6,714;5,025;1,689;2,360;35.2
------;Straftaten insgesamt;1061;Steinburg;K;7,333;5,583;473;6.5;9;11;4,276;58.3;3,130;2,368;762;627;20
------;Straftaten insgesamt;1062;Stormarn;K;13,224;5,438;1,478;11.2;20;9;6,212;47;4,988;3,949;1,039;1,322;26.5
------;Straftaten insgesamt;2000;Hamburg;KfS;206,790;11,231;15,293;7.4;165;29;97,921;47.4;66,216;51,343;14,873;30,308;45.8
------;Straftaten insgesamt;3101;Braunschweig;KfS;19,663;7,919;1,238;6.3;25;11;12,797;65.1;8,880;6,755;2,125;2,629;29.6
------;Straftaten insgesamt;3102;Salzgitter;KfS;6,375;6,074;459;7.2;12;8;4,227;66.3;3,127;2,276;851;1,077;34.4
------;Straftaten insgesamt;3103;Wolfsburg;KfS;8,897;7,166;594;6.7;4;8;5,127;57.6;3,809;2,909;900;1,213;31.8
------;Straftaten insgesamt;3151;Gifhorn;LK;6,969;3,961;444;6.4;10;15;4,596;65.9;3,457;2,626;831;745;21.6
------;Straftaten insgesamt;3153;Goslar;LK;8,794;6,418;664;7.6;12;11;5,537;63;4,071;3,027;1,044;820;20.1
------;Straftaten insgesamt;3154;Helmstedt;LK;5,718;6,262;406;7.1;5;7;3,721;65.1;2,669;2,049;620;633;23.7
------;Straftaten insgesamt;3155;Northeim;LK;6,794;5,117;442;6.5;11;10;4,682;68.9;3,509;2,620;889;651;18.6
------;Straftaten insgesamt;3157;Peine;LK;7,125;5,319;516;7.2;9;9;4,496;63.1;3,126;2,394;732;858;27.4
------;Straftaten insgesamt;3158;Wolfenbüttel;LK;4,535;3,780;321;7.1;7;3;2,887;63.7;2,264;1,715;549;463;20.5
------;Straftaten insgesamt;3159;Göttingen;LK;20,829;6,349;1,289;6.2;25;13;12,807;61.5;8,774;6,599;2,175;2,298;26.2
------;Straftaten insgesamt;3241;Region Hannover;LK;106,301;9,183;6,873;6.5;115;66;69,099;65;41,971;32,047;9,924;15,610;37.2
------;Straftaten insgesamt;3251;Diepholz;LK;10,356;4,775;734;7.1;18;21;6,849;66.1;5,167;4,045;1,122;1,276;24.7
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;8,028;5,404;453;5.6;8;6;5,775;71.9;4,268;3,152;1,116;1,108;26
------;Straftaten insgesamt;3254;Hildesheim;LK;16,494;5,963;1,253;7.6;28;14;10,279;62.3;6,909;5,206;1,703;1,716;24.8
------;Straftaten insgesamt;3255;Holzminden;LK;3,336;4,700;206;6.2;12;12;2,446;73.3;1,758;1,315;443;271;15.4
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;6,727;5,542;535;8;6;11;3,897;57.9;2,852;2,153;699;590;20.7
------;Straftaten insgesamt;3257;Schaumburg;LK;9,345;5,923;551;5.9;15;13;5,818;62.3;4,164;3,188;976;1,021;24.5
------;Straftaten insgesamt;3351;Celle;LK;11,806;6,598;973;8.2;20;20;8,074;68.4;5,072;3,669;1,403;1,073;21.2
------;Straftaten insgesamt;3352;Cuxhaven;LK;9,815;4,952;699;7.1;19;13;6,029;61.4;4,417;3,399;1,018;995;22.5
------;Straftaten insgesamt;3353;Harburg;LK;12,696;5,023;860;6.8;17;9;7,725;60.8;5,965;4,769;1,196;1,790;30
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;2,570;5,307;256;10;4;4;1,830;71.2;1,316;935;381;215;16.3
------;Straftaten insgesamt;3355;Lüneburg;LK;12,473;6,802;837;6.7;23;12;7,252;58.1;4,673;3,603;1,070;1,099;23.5
