1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
Aenderung;Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Faelle Jahr 2019;Faelle Jahr 2018;Veraenderung-Anzahl;Veraenderung in %;Aufklaerung 2019- Faelle;Aufklaerung 2019 -Aufklaerungsquote;Aufklaerung 2018 - Faelle;Aufklaerung 2018 -Aufklaerungsquote;Veraenderung in %-Punkten
;------;Straftaten insgesamt;1001;Flensburg;KfS;8,617;8,156;461;5.7;4,977;57.8;4,878;59.8;-2
;------;Straftaten insgesamt;1002;Kiel;KfS;22,452;24,621;-2,169;-8.8;11,490;51.2;11,941;48.5;2.7
;------;Straftaten insgesamt;1003;Lübeck;KfS;21,768;22,685;-917;-4;12,900;59.3;12,727;56.1;3.2
;------;Straftaten insgesamt;1004;Neumünster;KfS;11,397;10,688;709;6.6;7,079;62.1;6,660;62.3;-0.2
;------;Straftaten insgesamt;1051;Dithmarschen;K;6,786;7,224;-438;-6.1;3,957;58.3;4,163;57.6;0.7
;------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;10,060;10,035;25;0.2;5,262;52.3;5,207;51.9;0.4
;------;Straftaten insgesamt;1054;Nordfriesland;K;8,277;8,964;-687;-7.7;4,559;55.1;4,924;54.9;0.2
;------;Straftaten insgesamt;1055;Ostholstein;K;12,709;12,542;167;1.3;7,035;55.4;6,877;54.8;0.6
;------;Straftaten insgesamt;1056;Pinneberg;K;18,552;17,961;591;3.3;9,319;50.2;8,886;49.5;0.7
;------;Straftaten insgesamt;1057;Plön;K;5,318;5,473;-155;-2.8;2,814;52.9;2,952;53.9;-1
;------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;12,525;12,478;47;0.4;6,761;54;6,700;53.7;0.3
;------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,130;9,382;-252;-2.7;5,543;60.7;6,085;64.9;-4.2
;------;Straftaten insgesamt;1060;Segeberg;K;15,297;17,114;-1,817;-10.6;8,233;53.8;9,770;57.1;-3.3
;------;Straftaten insgesamt;1061;Steinburg;K;7,333;6,986;347;5;4,276;58.3;4,039;57.8;0.5
;------;Straftaten insgesamt;1062;Stormarn;K;13,224;12,585;639;5.1;6,212;47;5,973;47.5;-0.5
;------;Straftaten insgesamt;2000;Hamburg;KfS;206,790;216,569;-9,779;-4.5;97,921;47.4;99,687;46;1.4
;------;Straftaten insgesamt;3101;Braunschweig;KfS;19,663;21,355;-1,692;-7.9;12,797;65.1;13,553;63.5;1.6
;------;Straftaten insgesamt;3102;Salzgitter;KfS;6,375;6,359;16;0.3;4,227;66.3;4,173;65.6;0.7
;------;Straftaten insgesamt;3103;Wolfsburg;KfS;8,897;9,086;-189;-2.1;5,127;57.6;4,916;54.1;3.5
;------;Straftaten insgesamt;3151;Gifhorn;LK;6,969;6,889;80;1.2;4,596;65.9;4,420;64.2;1.7
;------;Straftaten insgesamt;3153;Goslar;LK;8,794;8,887;-93;-1;5,537;63;5,712;64.3;-1.3
;------;Straftaten insgesamt;3154;Helmstedt;LK;5,718;5,468;250;4.6;3,721;65.1;3,422;62.6;2.5
;------;Straftaten insgesamt;3155;Northeim;LK;6,794;6,692;102;1.5;4,682;68.9;4,525;67.6;1.3
;------;Straftaten insgesamt;3157;Peine;LK;7,125;6,707;418;6.2;4,496;63.1;4,209;62.8;0.3
