Zeit;FahrradbrueckeFahrradbruecke;FahrradbrueckeFahrradbruecke stadteinwärts Fahrräder;FahrradbrueckeFahrradbruecke stadtauswärts Fahrräder;Symbol Wetter;Temperatur (°C);Gefühlte Temperatur (°C);Regen (mm)
01.01.2020 00:00;104;31;73;Leicht bewölkt;1;-1;0
01.01.2020 01:00;128;47;81;Leicht bewölkt;0;-1;0
01.01.2020 02:00;178;77;101;Sonnig;0;-2;0
01.01.2020 03:00;113;56;57;Sonnig;0;-2;0
01.01.2020 04:00;76;36;40;Sonnig;0;-2;0
01.01.2020 05:00;50;12;38;Sonnig;0;-2;0
01.01.2020 06:00;25;14;11;Sonnig;-1;-3;0
01.01.2020 07:00;19;6;13;Sonnig;0;-2;0
01.01.2020 08:00;23;11;12;Sonnig;1;-1;0
01.01.2020 09:00;27;13;14;Sonnig;1;0;0
01.01.2020 10:00;36;21;15;Sonnig;3;1;0
01.01.2020 11:00;56;23;33;Sonnig;4;3;0
01.01.2020 12:00;76;33;43;Sonnig;5;5;0
01.01.2020 13:00;75;41;34;Sonnig;5;4;0
01.01.2020 14:00;91;40;51;Sonnig;5;4;0
01.01.2020 15:00;116;64;52;Sonnig;5;4;0
01.01.2020 16:00;115;50;65;Sonnig;4;3;0
01.01.2020 17:00;88;42;46;Sonnig;3;3;0
01.01.2020 18:00;97;36;61;Sonnig;2;2;0
01.01.2020 19:00;80;40;40;Sonnig;2;2;0
01.01.2020 20:00;61;30;31;Sonnig;1;1;0
01.01.2020 21:00;42;21;21;Sonnig;1;1;0
01.01.2020 22:00;34;13;21;Sonnig;1;1;0
01.01.2020 23:00;33;19;14;Sonnig;1;1;0
02.01.2020 00:00;18;5;13;Sonnig;1;1;0
02.01.2020 01:00;6;2;4;Sonnig;0;0;0
02.01.2020 02:00;4;1;3;Sonnig;0;0;0
02.01.2020 03:00;2;1;1;Sonnig;0;0;0
02.01.2020 04:00;10;5;5;Sonnig;0;0;0
02.01.2020 05:00;19;8;11;Sonnig;0;0;0
02.01.2020 06:00;58;41;17;Sonnig;0;0;0
02.01.2020 07:00;138;80;58;Sonnig;0;0;0
02.01.2020 08:00;187;112;75;Sonnig;1;1;0
02.01.2020 09:00;202;134;68;Sonnig;2;2;0
02.01.2020 10:00;202;131;71;Sonnig;4;4;0
02.01.2020 11:00;308;174;134;Sonnig;5;5;0
02.01.2020 12:00;275;120;155;Sonnig;6;6;0
02.01.2020 13:00;319;152;167;Sonnig;6;6;0
02.01.2020 14:00;322;165;157;Sonnig;5;5;0
02.01.2020 15:00;358;167;191;Sonnig;4;5;0
02.01.2020 16:00;323;159;164;Sonnig;4;4;0
02.01.2020 17:00;343;151;192;Leicht bewölkt;3;3;0
02.01.2020 18:00;277;117;160;Leicht bewölkt;2;2;0
02.01.2020 19:00;229;87;142;Leicht bewölkt;2;2;0
02.01.2020 20:00;136;58;78;Leicht bewölkt;1;1;0
02.01.2020 21:00;100;51;49;Leicht bewölkt;1;1;0
02.01.2020 22:00;113;45;68;Leicht bewölkt;1;0;0
02.01.2020 23:00;89;41;48;Leicht bewölkt;1;0;0
03.01.2020 00:00;44;17;27;Leicht bewölkt;0;0;0
03.01.2020 01:00;34;7;27;Leicht bewölkt;0;0;0
03.01.2020 02:00;13;7;6;Leicht bewölkt;0;0;0
03.01.2020 03:00;3;2;1;Leicht bewölkt;0;0;0
03.01.2020 04:00;10;4;6;Leicht bewölkt;0;-1;0
03.01.2020 05:00;26;14;12;Bewölkt;0;-1;0
03.01.2020 06:00;83;54;29;Bewölkt;0;-1;0
03.01.2020 07:00;127;74;53;Bewölkt;0;0;0
03.01.2020 08:00;199;130;69;Bedeckt;1;1;0
03.01.2020 09:00;233;147;86;Bedeckt;2;2;0
03.01.2020 10:00;291;156;135;Bedeckt;3;2;0
03.01.2020 11:00;392;228;164;Bedeckt;5;3;0
